name,price,deal,shop_name,location,url
【双11预售】YSL圣罗兰恒颜无瑕恒久粉底液 哑光服帖自然油皮遮瑕,600.00,6000+人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=586441136698&ns=1&abbucket=3
【双11预售】兰蔻持妆粉底液 持久保湿混油皮控油遮瑕防水,430.00,6万+人付款,lancome兰蔻官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=573487570027&ns=1&abbucket=3
【加购】red earth红地球养肤粉底液持久不脱妆遮瑕持妆平价干皮,168.00,3万+人付款,redearth红地球官方旗舰店,上海,https://detail.tmall.com/item.htm?id=559145345945&ns=1&abbucket=3
【双11预售】欧莱雅吸油棒粉底液女遮瑕控油不脱妆混油皮亲妈35ml,129.00,2万+人付款,欧莱雅彩妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=563233800548&ns=1&abbucket=3
珀莱雅日不落粉底液干皮油皮亲妈持久保湿遮瑕控油BB霜女学生平价,89.90,5万+人付款,珀莱雅官方旗舰店,浙江 杭州,https://detail.tmall.com/item.htm?id=579685049795&ns=1&abbucket=3
2瓶|粉底液正品持久保湿遮瑕不脱妆持妆气垫bb霜干油皮女学生平价,49.90,1万+人付款,资莱皙旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=590370140351&ns=1&abbucket=3
【双11预售】植村秀奶油小方瓶羽纱粉底液滋润奶油肌遮瑕抗氧化,430.00,5000+人付款,植村秀官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=652891742460&ns=1&abbucket=3
香港直发Lancome兰蔻持妆轻透粉底液PO-01防汗遮瑕不易脱妆30ml,334.00,1000+人付款,天猫国际海外直购,香港,https://detail.tmall.com/item.htm?id=653234623723&ns=1&abbucket=3
【奶油妈推荐】日本资生堂INTEGRATE完美意境粉底霜,119.00,2万+人付款,资生堂集团海外旗舰店,日本,https://detail.tmall.com/item.htm?id=627216923174&ns=1&abbucket=3
爱敬粉底液养肤持久不脱妆干混油皮遮瑕保湿bb霜旗舰店官方正品女,109.00,3000+人付款,绿蜜蜂海外专营店,浙江 杭州,https://detail.tmall.com/item.htm?id=654991668250&ns=1&abbucket=3
美宝莲粉底液控油遮瑕保湿持久不脱妆油皮亲妈滋润水润30ml,119.00,7000+人付款,天猫超市,上海,https://detail.tmall.com/item.htm?id=595751407349&ns=1&abbucket=3
【自播双11专属】MAC/魅可定制无瑕粉底液控油遮瑕持久不脱妆混皮,340.00,2万+人付款,mac魅可官方旗舰店,浙江 嘉兴,https://detail.tmall.com/item.htm?id=638711611100&ns=1&abbucket=3
阿玛尼权利粉底液30ml权力2号蓝标大师uv持久遮瑕油皮新红标正品,240.00,3000+人付款,霹雳小文哥,山东 青岛,https://item.taobao.com/item.htm?id=620377580810&ns=1&abbucket=3#detail
芭贝拉粉底液控油持久遮瑕混干油皮滋润正品巴贝拉官方旗舰店粉霜,89.00,1万+人付款,芭贝拉旗舰店,江苏 淮安,https://detail.tmall.com/item.htm?id=630124054454&ns=1&abbucket=3
阿玛尼红气垫新款蓝标大师粉底液bb霜替换芯粉色保湿持久遮瑕正品,278.00,1000+人付款,霹雳小文哥,山东 青岛,https://item.taobao.com/item.htm?id=607780287423&ns=1&abbucket=3#detail
阿玛尼权利粉底液Armani蓝标大师红标遮瑕持久uv纯净持妆2号3正品,290.00,2000+人付款,我走在邊緣,山东 济南,https://item.taobao.com/item.htm?id=611517447950&ns=1&abbucket=3#detail
生生妈在香港雅诗兰黛DW DoubleWear粉底液SPF10遮瑕1w2不脱妆1w1,215.00,3000+人付款,elevion,广东 深圳,https://item.taobao.com/item.htm?id=44673353770&ns=1&abbucket=3#detail
保税仓直邮mac无暇定制粉底液订制魅可无瑕持妆粉底nc12n18控油15,158.00,5000+人付款,欣欣然潮流社区,山东 青岛,https://item.taobao.com/item.htm?id=642422536656&ns=1&abbucket=3#detail
雅诗兰黛DW粉底液持久定妆dw油皮亲妈沁水提亮遮瑕控油保湿 正品,169.00,1000+人付款,amfree6,广东 深圳,https://item.taobao.com/item.htm?id=655403412551&ns=1&abbucket=3#detail
雅诗兰黛DW/dw新款粉底液遮瑕控油保湿水润1w1不脱妆油皮亲妈1N1,228.00,1000+人付款,浩0o瀚,四川 成都,https://item.taobao.com/item.htm?id=611166859934&ns=1&abbucket=3#detail
【双11抢先加购】zelens Age粉底液套装 光泽奶油肌遮瑕提亮水润,479.00,3000+人付款,zelens海外旗舰店,上海,https://detail.tmall.com/item.htm?id=586453765632&ns=1&abbucket=3
JJSHOP 雅诗兰黛新版沁水持久粉底液干皮救星1C0/2C0/1W0/2W0/1C1,273.00,2000+人付款,浩0o瀚,四川 成都,https://item.taobao.com/item.htm?id=630336741048&ns=1&abbucket=3#detail
KATE/凯朵蜜粉底液白管油皮混油亲妈日本遮瑕持久养肤不脱妆美肌,149.00,8000+人付款,kate官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=611982246419&ns=1&abbucket=3
卡姿兰粉底液遮瑕保湿持久不脱妆bb霜女混油皮干皮小奶猫官方正品,99.00,6000+人付款,卡姿兰恋尚专卖店,江苏 南京,https://detail.tmall.com/item.htm?id=611388513057&ns=1&abbucket=3
【双11预售】NARS 亮采遮瑕气垫粉饼 持妆粉底方气垫底妆细节,480.00,6000+人付款,nars官方旗舰店,上海,https://click.simba.taobao.com/cc_im?p=%B7%DB%B5%D7%D2%BA&s=1723211334&k=621&e=x1x05tewDbsv5sRk38ZyxLYVWcGmA5PEHO60qKqcomlGs6zDJHes5fYfGu4uPouG98uzFxU95mQD8mqYcCILJ4wjCsVN10%2FI94%2FkjFgkbQAgIF8odi7L4pHOh9ryUecEX5NUTC7iLVX%2FcPpmKg%2BtnwYIyM7bGmmpU%2BltRxXGtGYALq%2FZFKWoW38P7f%2BaG6m0Vxf6MD76gFgdcyW0fhnkhvvivnpzQqzkZn1ge9qPJiSNMuJidQ0%2FAJk9cjFPoDWDIpq9re8dhk0wLNgV%2FHasWQaTKNRU9qXeAI1bDaYe5hmF%2FbQxy%2BbA2PikpVLZdlu7qslZWjVQa65z4j4C0mmdKuOWdAz5qg4bcf%2BLN6u37kxiQ9YdV39GfcbDvboHO1NIPjlCrVy%2FK7rCQpdtJXp%2Fi55yU3Tp8zU06FbM%2BgnyT41bFO2apbbOUrxx8T1aDySY2lCpTHb4v8xwEzD3udg7IU2zmw%2B%2BUChhoF%2FjwoQS0m2wvS4%2BXd9Ghsu4aXavWpx69OFX0zuKeIR%2Fzr0wHA3c%2B2ukcQ5GGOQ4FeoZTBbBON6NFV4e8l5zYG%2FoxNRhrkoT8NGetmOcBLvadApmfA5tfL6dGHblrvY0ZdMaIvjO2Gk%3D
