productId,price,name,shop,自营
100016002864,129.00,"	
花西子雕花/浮雕唇膏女半哑光正红烂番茄色中国风杜鹃520礼物送女友情人节七夕节- M122绛仙绣",花西子京东自营旗舰店,['自营']
100012404431,360.00,纪梵希（Givenchy）高定香榭唇膏 小羊皮N304 3.4g 半哑光 少女西柚红  生日礼物,GIVENCHY纪梵希京东自营官方旗舰店,"['自营', '闪购', '券1200-100', '赠']"
45024574886,238.00,盈盼一鹿有你礼盒套装生日礼物女生女朋友女孩闺蜜送老婆结婚纪念日送女友中秋礼品情人节礼物化妆品 一鹿有你【同心锁套盒+精美礼,盈盼礼品旗舰店,['京东物流']
100025702844,69.00,colorkey 珂拉琪黑缎唇釉（三周年限定版）B911冷萃咖啡2g 丝滑润哑系列 唇彩唇蜜哑光丝绒雾面不易沾杯,colorkey京东自营官方旗舰店,"['自营', '放心购']"
100009830162,59.00,"	
colorkey 珂拉琪雾面丝绒空气哑光唇釉 R608焦糖红棕1.7g 唇彩唇蜜唇泥丝绒系列不易沾杯不易掉色",colorkey京东自营官方旗舰店,"['自营', '放心购', '闪购', '2件7.5折']"
100022834544,309.00,"	
GUCCI古驰倾色琉光唇膏高光水润细管#515 一生挚爱 1.8g 生日礼物送女友",香水彩妆京东自营专区,"['自营', '放心购', '闪购', '满199-40']"
100024296466,1372.00,"	
迪奥Dior全新烈艳蓝金唇膏限量4支套装(哑光999+哑光772+丝绒720+丝绒840) 礼盒 送女友 送老婆",迪奥（Dior）美妆京东自营专区,"['自营', '放心购', '新品', '品质溯源', '券300-10', '满499-100']"
59799477354,306.00,迪奥（Dior）滋润显色瘾诱超模漆光黑管唇膏固体礼盒情人节520礼物礼品七夕表白告白送老师教师节 740#枫叶红（迪奥礼袋装）,举资美妆专营店,"['京东物流', '放心购']"
100017665200,335.00,"	
圣罗兰（YSL）方管新色1966红棕色（缎光 持久易上色）生日礼物",圣罗兰（YSL）美妆京东自营专区,"['自营', '放心购', '品质溯源', '每满300-30']"
100012787647,59.00,Pink Bear 皮可熊柔滑奶霜哑光唇泥 M720（蜜桃猫联名款）绵柔雾面小奶棒2.5g 女学生哑光唇彩唇蜜礼物 ,Pink Bear京东自营旗舰店,"['自营', '放心购']"
100010619833,69.90,"	
完美日记薄透雾感名片唇釉002 4g（无花果粉）刘宇推荐色丝绒雾面显白唇膏 生日礼物",完美日记京东自营旗舰店,"['自营', '放心购', '闪购']"
70032921683,278.00,阿玛尼ARMANI405红管唇釉206 205哑光415气垫套装套盒礼盒生日礼物女 红管405# 番茄红,布鲁斯美妆专营店,"['京东物流', '放心购']"
42885354144,318.00,汤姆福特（TOM FORD） TF黑管烈焰幻魅唇膏生日礼物礼盒套装 滋润tf16#斯嘉丽红(番茄红),乐逗美妆专营店,"['京东物流', '放心购', '免邮', '赠']"
10021960568762,59.00,"	
卡姿兰（Carslan）丝绒哑光唇釉雾面不掉色不易沾杯套装礼盒节日送礼七夕情人节礼物送女朋友 V603【烂番茄】",红动美妆专营店,"['放心购', '秒杀', '免邮', '满69-10', '赠']"
100023741140,360.00,纪梵希（Givenchy）高定香榭唇膏 小羊皮N333 3.4g 半哑光 女神红 生日礼物,GIVENCHY纪梵希京东自营官方旗舰店,"['自营', '闪购', '券1200-100', '赠']"
100020376056,299.00,【11.11预售】美宝莲甜蜜叛桃礼盒（10+11+12）唇釉3支装浓郁显色持久丰盈礼物送女友 礼盒 ,美宝莲京东自营官方旗舰店,"['自营', '放心购']"
100016236074,129.00,"	
花西子雕花/浮雕唇膏女半哑光正红烂番茄色中国风杜鹃520礼物送女友情人节-M123伯牙绣",花西子京东自营旗舰店,"['自营', '放心购']"
100022864564,180.00,"	
魅可（M.A.C）挚爱柔缎唇膏34# （Hot as Chili）贪心红椒 丘比特限量版 节日礼物  送女友送老婆",MAC魅可京东自营专区,"['自营', '放心购', '品质溯源', '赠']"
